f127.0.0.1:2222,127.0.0.1:1111	0	1	0	0	0
f127.0.0.1:2222,127.0.0.1:1111	0	0
f127.0.0.1:1111,127.0.0.1:2222	0	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	1	0
f127.0.0.1:2222,127.0.0.1:1111	1	1	0	0	2
f127.0.0.1:2222,127.0.0.1:1111	2	0
f127.0.0.1:1111,127.0.0.1:2222	41	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	46	0
f127.0.0.1:2222,127.0.0.1:1111	46	1	0	1	4
f127.0.0.1:2222,127.0.0.1:1111	46	0
f127.0.0.1:1111,127.0.0.1:2222	46	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	47	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	51	1
f127.0.0.1:2222,127.0.0.1:1111	51	2	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	52	1
f127.0.0.1:1111,127.0.0.1:2222	52	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	52	3	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	52	2
f127.0.0.1:1111,127.0.0.1:2222	52	-1	5	0
f127.0.0.1:1111,127.0.0.1:2222	55	1
f127.0.0.1:2222,127.0.0.1:1111	56	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	56	1
f127.0.0.1:1111,127.0.0.1:2222	56	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	57	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	60	2
f127.0.0.1:2222,127.0.0.1:1111	60	3	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	60	2
f127.0.0.1:2222,127.0.0.1:1111	60	-1	0	4
f127.0.0.1:1111,127.0.0.1:2222	65	1
f127.0.0.1:2222,127.0.0.1:1111	65	2	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	65	1
f127.0.0.1:1111,127.0.0.1:2222	66	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	66	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	69	2
f127.0.0.1:2222,127.0.0.1:1111	69	3	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	70	2
f127.0.0.1:1111,127.0.0.1:2222	74	1
f127.0.0.1:2222,127.0.0.1:1111	74	2	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	74	1
f127.0.0.1:1111,127.0.0.1:2222	78	0
f127.0.0.1:2222,127.0.0.1:1111	78	1	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	79	0
f127.0.0.1:1111,127.0.0.1:2222	1066	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1070	0
f127.0.0.1:2222,127.0.0.1:1111	1070	1	0	5	4
f127.0.0.1:2222,127.0.0.1:1111	1071	0
f127.0.0.1:1111,127.0.0.1:2222	1071	1	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1071	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1075	1
f127.0.0.1:2222,127.0.0.1:1111	1075	2	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	1075	1
f127.0.0.1:1111,127.0.0.1:2222	1075	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1079	1
f127.0.0.1:2222,127.0.0.1:1111	1079	2	0	7	4
f127.0.0.1:2222,127.0.0.1:1111	1079	1
f127.0.0.1:1111,127.0.0.1:2222	1079	2	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1079	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1083	2
f127.0.0.1:2222,127.0.0.1:1111	1084	3	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	1084	2
f127.0.0.1:1111,127.0.0.1:2222	1084	3	11	0	3
f127.0.0.1:1111,127.0.0.1:2222	1087	2
f127.0.0.1:2222,127.0.0.1:1111	1087	3	0	9	4
f127.0.0.1:2222,127.0.0.1:1111	1088	2
f127.0.0.1:1111,127.0.0.1:2222	1088	3	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	1091	2
f127.0.0.1:2222,127.0.0.1:1111	1091	3	0	10	4
f127.0.0.1:2222,127.0.0.1:1111	1092	2
f127.0.0.1:1111,127.0.0.1:2222	1092	3	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	1092	4	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1092	3
f127.0.0.1:1111,127.0.0.1:2222	1092	-1	14	0
f127.0.0.1:1111,127.0.0.1:2222	1096	2
f127.0.0.1:2222,127.0.0.1:1111	1096	3	0	11	4
f127.0.0.1:2222,127.0.0.1:1111	1097	2
f127.0.0.1:1111,127.0.0.1:2222	1097	3	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	1097	2
f127.0.0.1:1111,127.0.0.1:2222	1097	-1	15	0
f127.0.0.1:1111,127.0.0.1:2222	1100	1
f127.0.0.1:2222,127.0.0.1:1111	1100	2	0	12	4
f127.0.0.1:2222,127.0.0.1:1111	1100	1
f127.0.0.1:1111,127.0.0.1:2222	1100	2	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	1104	1
f127.0.0.1:2222,127.0.0.1:1111	1104	2	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1104	1
f127.0.0.1:1111,127.0.0.1:2222	1104	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	1104	1
f127.0.0.1:1111,127.0.0.1:2222	1104	-1	17	0
f127.0.0.1:1111,127.0.0.1:2222	1109	0
f127.0.0.1:2222,127.0.0.1:1111	1109	1	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1109	0
f127.0.0.1:1111,127.0.0.1:2222	2104	1	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	2108	0
f127.0.0.1:2222,127.0.0.1:1111	2109	1	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	2109	0
f127.0.0.1:1111,127.0.0.1:2222	2109	1	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	2109	2	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	2113	1
